,request,id,n
388,эвакуация перед падением астероидов,[195],1
389,взрыв метеороида,[195],1
390,статьи о пластике,[196],1
391,новости о химических открытиях,[196],1
392,новости про субнептуны,[198],1
393,условия на субнептунах,[198],1
394,польза отказа от курения,[199],1
395,риск переломов у бывших курильщиков,[199],1
396,влияние отношений на групповую работу,[200],1
397,гендерные различия в групповой работе,[200],1
398,новости про янтарь с насекомыми,[201],1
399,находки в Южной Америке,[201],1
400,новости про миссию «Хаябуса-2»,[202],1
401,скорость вращения астероидов,[202],1
402,эволюция и гены,[203],1
403,пальцы и клоака,[203],1
404,советы по безопасному поведению в лесу,[204],1
405,встречи с дикими животными,[204],1
406,полезные масла для здоровья,[205],1
407,вредные масла для здоровья,[205],1
408,связь между татуировками и меланомой,[206],1
409,исследования риска меланомы у людей с татуировками,[206],1
410,достижения в физике плазмы,[207],1
411,точные инструменты в физике,[207],1
412,достижения в физике света,[208],1
413,технологии управления светом,[208],1
414,методы диагностики ранних стадий болезней Альцгеймера и Паркинсона,[209],1
415,открытия в,[209],1
416,спирт в рационе диких шимпанзе,[210],1
417,исследования питания шимпанзе,[210],1
418,статьи о переработке ила,[211],1
419,применение переработанного ила в сельском хозяйстве,[211],1
420,история ганзейских купцов,[212],1
421,причины ганзейских конфликтов,[212],1
422,статьи о применении борной кислоты в морской технике,[213],1
423,влияние борной кислоты на изностойкость,[213],1
424,исследования кремов с высоким фактором защиты от солнца,[215],1
425,побочные эффекты кремов,[215],1
426,археологические находки в Древней Азии,[216],1
427,мумификация в Древней Азии,[216],1
428,"гипотеза о комете, уничтожившей мамонтов",[217],1
429,"новости о находках, подтвержда",[217],1
430,новости про черную дыру М87,[218],1
431,изменения магнитных полей в космосе,[218],1
432,новости про алмазный детектор,[219],1
433,технологии защиты от техногенных катастроф,[219],1
434,статьи про поиск жертв мексиканских картелей,[220],1
435,методы спутникового поиска,[220],1
436,статьи про подростковую агрессию,[221],1
437,исследования самоанализа у подростков,[221],1
438,статьи про улиточную терапию,[222],1
439,опасности улиточной терапии,[222],1
440,статьи про создание новых материалов для Арктики и космоса,[223],1
441,материалы для Арктики и космоса,[223],1
442,влияние неправильного прикуса на здоровье,[224],1
443,статьи про неправильный прикус,[224],1
444,археологические находки в Чехии,[225],1
445,древние охотничьи инструменты,[225],1
446,достижения в трансплантологии,[226],1
447,продление срока жизни донорского сердца,[226],1
448,влияние исчезновения динозавров,[227],1
449,геология мелового периода,[227],1
450,новости про Квавар,[228],1
451,неустановленные объекты в космосе,[228],1
452,дославянская эпоха,[229],1
453,топонимия Новгородско-Псковских земель,[229],1
454,достижения в методах реабилитации после инсульта,[230],1
455,технологии виртуальной реальности в,[230],1
456,статьи про противогрибковые средства,[231],1
457,новости в области противогрибковых препаратов,[231],1
458,открытия в области нейросетей,[232],1
459,галлюцинации в искусственном интеллекте,[232],1
460,статьи о пещерных улитках,[233],1
461,открытия на Кавказе,[233],1
462,эксперименты с лазером на мозге,[234],1
463,нейробиология иллюзий,[234],1
464,советы по посадке осенью,[235],1
465,подготовка дачи к зиме,[235],1
466,достижения в исследовании графена,[236],1
467,методы анализа графена,[236],1
468,нейросети и галлюцинации,[237],1
469,защита информации от нейросетей,[237],1
470,методы предотвращения столкновения с астероидами,[238],1
471,научные исследования астероидов,[238],1
472,достижения в квантовой физике,[239],1
473,методы управления квантовым светом,[239],1
474,статьи о константах Гаммета,[240],1
475,ошибки в фундаментальных науках,[240],1
476,статьи про здоровье коленей,[241],1
477,новости про ученых из Перми,[241],1
478,статьи про раннюю диагностику опухолей мозга,[242],1
479,достижения российских ученых в медицине,[242],1
480,новые данные о размере Юпитера,[243],1
481,изменения массы газовых гигантов,[243],1
482,последствия перенесенного коронавируса,[244],1
483,влияние коронавируса на костную ткань,[244],1
484,пластичность сплавов при низких температурах,[245],1
485,открытия в физике низкотемпературных,[245],1
486,бактерии в лунном грунте,[246],1
487,бактерии в марсианском грунте,[246],1
488,статьи о фазовых переходах воды,[247],1
489,открытия в физике воды,[247],1
490,тайны марсианского «облака-призрака»,[248],1
491,астрономические открытия на Марсе,[248],1
492,особенности развития щупалец у осьминогов,[249],1
493,биология осьминогов,[249],1
494,новости про историю российского самодержавия,[250],1
495,предложения ученых по истории,[250],1
496,статьи про извлечение металлов из ядерных отходов,[251],1
497,достижения в переработке ядер,[251],1
498,статьи о мигрени,[252],1
499,связь между мигренью и выходными днями,[252],1
500,новости про корма для животных,[253],1
501,статьи о грибах в пищевой промышленности,[253],1
502,случаи пристрастия к отбеливателю белья,[254],1
503,В12-дефицитная анемия,[254],1
504,космическая гонка между Китаем и США,[255],1
505,влияние космической гонки на человечество,[255],1
506,новости из Антарктиды,[256],1
507,газообразный метан в Антарктиде,[256],1
508,влияние капель на поверхность,[257],1
509,скорость падения капель,[257],1
510,влияние постановки диагноза на психическое здоровье,[258],1
511,герои сказок в медицине,[258],1
512,статьи про астероид Рюгу,[259],1
513,жидкая вода на астероидах,[259],1
514,реакция взрослых на плач младенцев,[260],1
515,влияние плача на температуру лица,[260],1
516,статьи о маркетплейсах,[261],1
517,причины падения популярности маркетплейсов,[261],1
518,статьи о переработке отходов в строительные материалы,[262],1
519,устойчивые к плесени строймат,[262],1
520,генерация изображений под культуру,[263],1
521,искусственный интеллект в искусстве,[263],1
522,история наводнений в Петербурге,[264],1
523,"события, повлиявшие на Александра I",[264],1
524,новости про палеонтологические находки на Урале,[265],1
525,базилозавр,[265],1
526,влияние каннабиса на женскую фертильность,[266],1
527,статьи о каннабисе и здоровье,[266],1
528,статьи о животных с радужным мехом,[267],1
529,новости про открытие новых видов животных,[267],1
530,связь между употреблением алкоголя и привлекательностью для комаров,[268],1
531,новости про комаров,[268],1
532,влияние секций на развитие детей,[269],1
533,советы по воспитанию детей,[269],1
534,статьи про обновление исторического максимума цены на золото,[270],1
535,экономисты и золото,[270],1
536,достижения африканцев в образовании в России,[271],1
537,сравнение успеваемости африканцев,[271],1
538,причины тяжелого течения лихорадки денге,[272],1
539,исследования лихорадки денге,[272],1
540,статьи про новые обезболивающие препараты,[273],1
541,разработки в области анальгетиков,[273],1
542,статистика суицидальных подростков,[274],1
543,"причины, по которым подростки хотят жить",[274],1
544,темная материя и первичные черные дыры,[275],1
545,исследования темной материи,[275],1
546,статьи про рекомендационные системы,[276],1
547,достижения «Яндекса» в области искусственного интеллект,[276],1
548,технологии защиты сетей 6G,[277],1
549,автоматические жалюзи для защиты сетей,[277],1
550,влияние слов и действий на внимание младенцев,[278],1
551,исследования внимания младенцев,[278],1
552,исследования по болезни Альцгеймера,[279],1
553,эксперименты на мышах в медицине,[279],1
554,сделки SpaceX в космической связи,[280],1
555,монополия SpaceX на космическую связь,[280],1
556,ошибки в выборе экологичной продукции,[281],1
557,молодые россияне и экология,[281],1
558,атмосфера TRAPPIST-1e,[282],1
559,планета TRAPPIST-1e,[282],1
560,статьи про роботов в авиационной промышленности,[283],1
561,дефекты на лопатках турбин,[283],1
562,необычные межзвездные объекты,[284],1
563,скорость 3I/ATLAS,[284],1
564,статьи про инвестиции в российские разработки,[285],1
565,влияние инвестиций на экономику регионов,[285],1
566,археологические находки в Северной Америке,[286],1
567,мода на прически у охотников-собир,[286],1
568,влияние времени года на переработку мусора,[287],1
569,статьи о переработке мусора,[287],1
570,статьи о кристаллах времени,[288],1
571,достижения в физике времени,[288],1
572,последствия легализации каннабиса в Германии,[289],1
573,аргументы против легализации каннабиса,[289],1
574,загрязнение морей автомобильными шинами,[290],1
575,исследования в арктических морях,[290],1
576,статьи про наночастицы в медицине,[291],1
577,разработки в МФТИ,[291],1
578,влияние внешности на отношения,[292],1
579,особенности женщин с длинными ресницами,[292],1
580,моделирование памяти в искусственном интеллекте,[293],1
581,оптимальное количество органов чувств,[293],1
582,статьи про связь суставов с погодой,[295],1
583,научные исследования боли в суставах,[295],1
584,статьи о компактных энергокомплексах,[296],1
585,исследования в Арктике,[296],1
586,статьи про глубоководных химер,[297],1
587,особенности размножения глубоководных химер,[297],1
588,современные темпы вымирания,[298],1
589,сравнение современного вымирания с массовым вымиранием,[298],1
590,статьи о разложении водорода,[299],1
591,достижения в химии водорода,[299],1
592,самая древняя галактика,[300],1
593,открытия астрономов в последнее время,[300],1
594,исследования противозачаточных инъекций,[301],1
595,связь между противозачаточными средствами и раком,[301],1
596,статьи о красных точках в космосе,[302],1
597,предшественники голубых галактик,[302],1
598,статьи про зонд юнона,[303],1
599,полярные сияния на юпитере,[303],1
600,принципы взаимодействия частиц в физике,[304],1
601,новаторские открытия в физике,[304],1
602,научпоп-журналистика,[305],1
603,качество научных публикаций,[305],1
604,влияние микрогравитации на стволовые клетки,[306],1
605,исследования старения стволовых клеток,[306],1
606,статьи про «Оземпик»,[307],1
607,влияние «Оземпика» на употребление кокаина,[307],1
608,статьи про архитектуру будущего,[308],1
