request,id,n,search_20_none,search_10_none,search_20_rerank,search_10_rerank,search_20_other,search_10_other,search_20_trained,search_10_trained
трудовые понедельники после выхода на пенсию,[690],1,"[690, 5733, 510, 2867, 8224, 3997, 4520, 157, 2673, 5770, 8175, 7602, 3946, 4259, 4529, 5361, 36, 5464, 6786, 1972]","[690, 5733, 510, 2867, 8224, 3997, 4520, 157, 2673, 5770]","[690, 2673, 5733, 510, 2867, 8224, 3562, 7477, 6274, 8175, 6786, 7602, 6312, 3997, 7488, 7909, 4783, 3554, 3946, 7107]","[690, 2673, 5733, 510, 2867, 8224, 3562, 7477, 6274, 8175]","[690, 5733, 2867, 8175, 5464, 3562, 8144, 5770, 1934, 2673, 6312, 6186, 5845, 7227, 6786, 5880, 3103, 4294, 8244, 4459]","[690, 5733, 2867, 8175, 5464, 3562, 8144, 5770, 1934, 2673]","[2958, 2673, 5063, 4529, 7909, 6274, 5880, 8144, 690, 6803, 7602, 5733, 4190, 5361, 8224, 5875, 2362, 4856, 1867, 6786]","[2958, 2673, 5063, 4529, 7909, 6274, 5880, 8144, 690, 6803]"
планета TRAPPIST-1e,[282],1,"[282, 6584, 7209, 4513, 864, 1157, 6296, 1305, 6125, 3345, 562, 1029, 2028, 8092, 2550, 1927, 8217, 3729, 256, 7331]","[282, 6584, 7209, 4513, 864, 1157, 6296, 1305, 6125, 3345]","[282, 6584, 864, 7209, 4513, 1157, 6296, 6792, 8208, 5946, 7331, 390, 6001, 2086, 2928, 7194, 1720, 4150, 6085, 5259]","[282, 6584, 864, 7209, 4513, 1157, 6296, 6792, 8208, 5946]","[6584, 282, 864, 7209, 4513, 1029, 1157, 2733, 5088, 4667, 562, 2805, 3307, 5946, 6001, 8208, 6125, 3729, 7194, 1948]","[6584, 282, 864, 7209, 4513, 1029, 1157, 2733, 5088, 4667]","[6584, 7209, 282, 4513, 864, 1157, 2444, 7760, 1054, 7605, 5853, 2177, 3669, 4335, 1927, 1961, 1412, 5877, 6001, 1447]","[6584, 7209, 282, 4513, 864, 1157, 2444, 7760, 1054, 7605]"
космические миссии к астероидам,[67],1,"[5434, 7849, 5245, 8208, 6475, 4862, 67, 2284, 1765, 2597, 7537, 238, 3097, 2874, 7040, 1626, 3777, 631, 152, 7220]","[5434, 7849, 5245, 8208, 6475, 4862, 67, 2284, 1765, 2597]","[5434, 7849, 5245, 1765, 1577, 67, 4865, 202, 6475, 2318, 2597, 7676, 3097, 2131, 631, 7220, 5860, 4582, 3080, 8208]","[5434, 7849, 5245, 1765, 1577, 67, 4865, 202, 6475, 2318]","[5434, 7849, 4865, 1577, 67, 6475, 1765, 7220, 202, 2318, 2597, 3777, 2268, 2202, 8208, 7045, 1470, 3080, 1373, 3464]","[5434, 7849, 4865, 1577, 67, 6475, 1765, 7220, 202, 2318]","[5434, 7849, 7902, 5245, 3080, 1577, 6475, 2784, 8270, 1765, 3097, 2318, 202, 4862, 1610, 4582, 7879, 2378, 152, 7220]","[5434, 7849, 7902, 5245, 3080, 1577, 6475, 2784, 8270, 1765]"
"вакцины живые, убитые и векторные",[83],1,"[7176, 6701, 5452, 83, 6057, 6662, 6667, 4978, 2323, 7564, 7404, 4027, 6790, 7475, 5628, 6717, 7298, 1756, 3025, 6002]","[7176, 6701, 5452, 83, 6057, 6662, 6667, 4978, 2323, 7564]","[7176, 7298, 7126, 2323, 6662, 4978, 4289, 7161, 6057, 7697, 7475, 7992, 5452, 7491, 695, 5973, 5376, 3025, 5545, 7406]","[7176, 7298, 7126, 2323, 6662, 4978, 4289, 7161, 6057, 7697]","[7176, 4978, 6430, 7992, 6662, 5452, 7142, 4055, 5628, 3905, 144, 4420, 1756, 6021, 5841, 8033, 1977, 8158, 6002, 7491]","[7176, 4978, 6430, 7992, 6662, 5452, 7142, 4055, 5628, 3905]","[7176, 5527, 6662, 5376, 7475, 6002, 6667, 83, 7404, 7564, 6021, 1173, 7992, 4289, 3914, 3025, 6790, 502, 3905, 1483]","[7176, 5527, 6662, 5376, 7475, 6002, 6667, 83, 7404, 7564]"
археологические открытия в Китае,[5080],1,"[5395, 3848, 5105, 4616, 8038, 5449, 3776, 1217, 7744, 5080, 116, 4575, 2391, 7353, 5640, 4781, 2596, 133, 2677, 1371]","[5395, 3848, 5105, 4616, 8038, 5449, 3776, 1217, 7744, 5080]","[5395, 3848, 2391, 1760, 2882, 2677, 4575, 3776, 116, 8038, 2596, 6363, 4616, 225, 4751, 1371, 5449, 7049, 5105, 7496]","[5395, 3848, 2391, 1760, 2882, 2677, 4575, 3776, 116, 8038]","[5395, 2391, 3776, 2596, 4575, 8038, 5449, 3848, 2677, 4616, 332, 4343, 116, 1760, 6363, 3579, 2246, 5105, 3483, 4347]","[5395, 2391, 3776, 2596, 4575, 8038, 5449, 3848, 2677, 4616]","[5395, 2391, 4575, 3848, 3579, 1217, 8038, 7353, 930, 4751, 2596, 7049, 2677, 5153, 1371, 7496, 4854, 6363, 2246, 4343]","[5395, 2391, 4575, 3848, 3579, 1217, 8038, 7353, 930, 4751]"
идеальная планета для жизни,[7465],1,"[7465, 8232, 7241, 3345, 2116, 7321, 4442, 4606, 1012, 4150, 3669, 5694, 3729, 30, 198, 2618, 3122, 3248, 391, 7048]","[7465, 8232, 7241, 3345, 2116, 7321, 4442, 4606, 1012, 4150]","[7465, 8232, 3345, 7381, 7241, 30, 688, 3669, 4357, 6351, 7331, 198, 1071, 5694, 8076, 7858, 7242, 1045, 2116, 775]","[7465, 8232, 3345, 7381, 7241, 30, 688, 3669, 4357, 6351]","[7465, 1071, 8232, 7242, 7241, 3729, 3248, 391, 4442, 7331, 1012, 3960, 3053, 7434, 8076, 6584, 198, 2116, 3345, 7381]","[7465, 1071, 8232, 7242, 7241, 3729, 3248, 391, 4442, 7331]","[7465, 688, 391, 3053, 30, 809, 7536, 1045, 1071, 3122, 8076, 5560, 3729, 5694, 1706, 5444, 7048, 4442, 4337, 2157]","[7465, 688, 391, 3053, 30, 809, 7536, 1045, 1071, 3122]"
условия освещенности на Южном полю,[2131],1,"[3798, 5654, 2099, 6306, 6753, 5507, 6060, 5808, 610, 7257, 1810, 5491, 6309, 3018, 570, 174, 2414, 6016, 4606, 549]","[3798, 5654, 2099, 6306, 6753, 5507, 6060, 5808, 610, 7257]","[7977, 4550, 6542, 6016, 4389, 7553, 3798, 2990, 8137, 2131, 700, 5299, 5654, 6079, 3018, 6085, 5808, 60, 5491, 4111]","[7977, 4550, 6542, 6016, 4389, 7553, 3798, 2990, 8137, 2131]","[5299, 6753, 6060, 4550, 6306, 3858, 678, 6418, 6510, 4796, 3798, 700, 223, 8135, 7257, 6317, 4494, 2797, 6722, 2131]","[5299, 6753, 6060, 4550, 6306, 3858, 678, 6418, 6510, 4796]","[4606, 1447, 4195, 549, 610, 2939, 693, 7811, 7974, 5066, 6180, 4494, 5013, 4923, 518, 8232, 1369, 6418, 3569, 942]","[4606, 1447, 4195, 549, 610, 2939, 693, 7811, 7974, 5066]"
новости про разработку спутника,[5188],1,"[8208, 6897, 7383, 3653, 4005, 7045, 7560, 6566, 6569, 5523, 8256, 7373, 1922, 5256, 1708, 6836, 2726, 3179, 4324, 1052]","[8208, 6897, 7383, 3653, 4005, 7045, 7560, 6566, 6569, 5523]","[8256, 4005, 820, 1708, 7665, 1922, 6566, 4607, 2726, 5523, 3179, 2202, 3653, 6836, 1311, 6031, 434, 758, 7749, 3167]","[8256, 4005, 820, 1708, 7665, 1922, 6566, 4607, 2726, 5523]","[7373, 6897, 3608, 8256, 1765, 3653, 1708, 2109, 2726, 2437, 8208, 1311, 6552, 820, 5789, 7045, 7269, 1373, 4005, 8204]","[7373, 6897, 3608, 8256, 1765, 3653, 1708, 2109, 2726, 2437]","[2378, 8256, 4005, 3179, 4607, 1011, 2202, 1561, 3182, 6031, 7665, 6566, 820, 3573, 5256, 2635, 3655, 1922, 6134, 4359]","[2378, 8256, 4005, 3179, 4607, 1011, 2202, 1561, 3182, 6031]"
новости про динозавров,[6548],1,"[5315, 5148, 5482, 993, 3878, 1242, 7179, 8015, 6775, 1588, 4945, 4360, 1833, 817, 7507, 1160, 4026, 609, 151, 332]","[5315, 5148, 5482, 993, 3878, 1242, 7179, 8015, 6775, 1588]","[151, 8015, 1141, 1242, 2639, 6362, 4521, 7414, 1833, 817, 5315, 2246, 6263, 5482, 2025, 2853, 3666, 912, 5891, 993]","[151, 8015, 1141, 1242, 2639, 6362, 4521, 7414, 1833, 817]","[1242, 1667, 8015, 8173, 6362, 2025, 332, 817, 6141, 1947, 2853, 5310, 2677, 609, 2938, 6775, 5482, 5315, 3666, 912]","[1242, 1667, 8015, 8173, 6362, 2025, 332, 817, 6141, 1947]","[2938, 6141, 7366, 3495, 3878, 6657, 6775, 332, 2950, 1242, 6465, 609, 2853, 7119, 817, 6134, 8015, 5685, 7760, 4521]","[2938, 6141, 7366, 3495, 3878, 6657, 6775, 332, 2950, 1242]"
премии в области науки и техники,[5130],1,"[3973, 5130, 2440, 4762, 47, 5320, 8144, 6208, 5347, 7905, 2725, 2775, 2239, 5339, 7333, 3035, 2457, 7866, 4890, 2763]","[3973, 5130, 2440, 4762, 47, 5320, 8144, 6208, 5347, 7905]","[3973, 4762, 5320, 2440, 7890, 39, 7905, 5130, 31, 5347, 2763, 47, 6208, 6359, 2725, 5339, 7866, 3035, 2775, 5774]","[3973, 4762, 5320, 2440, 7890, 39, 7905, 5130, 31, 5347]","[4762, 5130, 3973, 2440, 2725, 39, 5339, 5320, 1984, 7905, 2775, 2763, 6359, 5309, 7866, 7890, 31, 47, 6208, 9]","[4762, 5130, 3973, 2440, 2725, 39, 5339, 5320, 1984, 7905]","[7890, 4762, 39, 3973, 31, 7905, 5130, 9, 5320, 5347, 2763, 47, 2440, 5774, 8144, 5596, 5422, 667, 7732, 1984]","[7890, 4762, 39, 3973, 31, 7905, 5130, 9, 5320, 5347]"
исследования в университете Южной Флориды,[6317],1,"[4859, 8174, 7792, 5049, 3200, 7816, 1834, 1933, 5818, 6393, 7021, 6671, 6060, 6180, 2671, 4892, 1201, 2283, 920, 5443]","[4859, 8174, 7792, 5049, 3200, 7816, 1834, 1933, 5818, 6393]","[4878, 6822, 8227, 5443, 7081, 5818, 3070, 2671, 4859, 6556, 8174, 6393, 8164, 6671, 2283, 6753, 5049, 3200, 1207, 8021]","[4878, 6822, 8227, 5443, 7081, 5818, 3070, 2671, 4859, 6556]","[6556, 4878, 4859, 7792, 5818, 3200, 5049, 7816, 5443, 2276, 3070, 6671, 4892, 6060, 3688, 2671, 6180, 8021, 8164, 5181]","[6556, 4878, 4859, 7792, 5818, 3200, 5049, 7816, 5443, 2276]","[7081, 658, 2553, 5029, 4500, 3200, 6843, 3372, 6046, 1868, 5384, 5818, 2966, 2283, 2414, 6822, 6077, 8227, 5443, 6422]","[7081, 658, 2553, 5029, 4500, 3200, 6843, 3372, 6046, 1868]"
достижения в селекции краснокнижных растений,[6161],1,"[6378, 6698, 1401, 6904, 3511, 717, 7031, 476, 7626, 8200, 4172, 4404, 7009, 6334, 175, 5876, 1500, 5300, 7700, 8171]","[6378, 6698, 1401, 6904, 3511, 717, 7031, 476, 7626, 8200]","[7626, 4698, 3511, 5300, 381, 4404, 4398, 1227, 6698, 4383, 7059, 3534, 6284, 6378, 8266, 6138, 4573, 1401, 6904, 476]","[7626, 4698, 3511, 5300, 381, 4404, 4398, 1227, 6698, 4383]","[7848, 3952, 7478, 7069, 8266, 6698, 1500, 175, 2655, 8200, 3471, 4172, 6882, 6572, 3511, 7009, 4383, 6097, 5768, 7145]","[7848, 3952, 7478, 7069, 8266, 6698, 1500, 175, 2655, 8200]","[7069, 7354, 2644, 1808, 2743, 7684, 5412, 8127, 6003, 7145, 6266, 6572, 61, 7059, 8024, 7848, 4570, 6187, 1524, 7101]","[7069, 7354, 2644, 1808, 2743, 7684, 5412, 8127, 6003, 7145]"
статьи о музыкальных жанрах,[2594],1,"[1647, 8020, 4293, 7581, 5051, 6134, 656, 3272, 4247, 3791, 5308, 7556, 4312, 543, 2546, 3891, 2841, 1932, 7927, 4444]","[1647, 8020, 4293, 7581, 5051, 6134, 656, 3272, 4247, 3791]","[1647, 8020, 2594, 3791, 8116, 5113, 4082, 4911, 7333, 8141, 7391, 5051, 2260, 4429, 7581, 543, 696, 1132, 1413, 6611]","[1647, 8020, 2594, 3791, 8116, 5113, 4082, 4911, 7333, 8141]","[1132, 4082, 2594, 4293, 8020, 696, 5051, 5113, 7581, 4444, 6928, 1647, 2546, 603, 4429, 1932, 7333, 5308, 1413, 5171]","[1132, 4082, 2594, 4293, 8020, 696, 5051, 5113, 7581, 4444]","[2260, 4911, 1647, 3791, 696, 8116, 6611, 5650, 5113, 2594, 8020, 8141, 4429, 1413, 1190, 7391, 1132, 536, 5992, 7556]","[2260, 4911, 1647, 3791, 696, 8116, 6611, 5650, 5113, 2594]"
статьи про любовь и химию,[1280],1,"[1280, 1822, 6826, 7740, 602, 5320, 4069, 5559, 4982, 6134, 6735, 4401, 3016, 147, 7056, 5036, 3248, 549, 1379, 2841]","[1280, 1822, 6826, 7740, 602, 5320, 4069, 5559, 4982, 6134]","[1280, 4798, 5036, 7333, 7056, 6359, 7727, 7177, 7189, 1341, 7434, 5711, 7455, 6369, 1735, 768, 585, 4069, 7594, 7528]","[1280, 4798, 5036, 7333, 7056, 6359, 7727, 7177, 7189, 1341]","[1280, 4069, 5036, 6369, 7333, 5320, 6359, 5622, 2763, 7740, 3192, 7177, 4934, 7905, 31, 5447, 2166, 3769, 1822, 8237]","[1280, 4069, 5036, 6369, 7333, 5320, 6359, 5622, 2763, 7740]","[2763, 7905, 31, 1280, 5320, 5559, 7189, 143, 87, 6359, 2166, 4619, 2120, 5544, 356, 6209, 1379, 1978, 4181, 6826]","[2763, 7905, 31, 1280, 5320, 5559, 7189, 143, 87, 6359]"
влияние безработицы на продолжительность жизни,[6583],1,"[7956, 5361, 6583, 7909, 4307, 4272, 3877, 5601, 2088, 5629, 3997, 3215, 383, 3406, 4520, 6512, 1459, 4749, 7166, 5845]","[7956, 5361, 6583, 7909, 4307, 4272, 3877, 5601, 2088, 5629]","[7909, 5426, 4944, 5361, 6258, 1156, 399, 383, 7602, 3406, 4301, 7611, 4749, 4783, 7107, 7163, 6583, 3997, 6715, 6512]","[7909, 5426, 4944, 5361, 6258, 1156, 399, 383, 7602, 3406]","[5361, 6011, 3877, 6744, 5044, 6492, 4210, 4749, 5803, 7107, 7771, 5733, 3406, 3244, 3278, 4272, 3303, 383, 5131, 7163]","[5361, 6011, 3877, 6744, 5044, 6492, 4210, 4749, 5803, 7107]","[5361, 6258, 7909, 6785, 6492, 4671, 6659, 4529, 4749, 4944, 1522, 6011, 4420, 3119, 3215, 3244, 5629, 5983, 5543, 7546]","[5361, 6258, 7909, 6785, 6492, 4671, 6659, 4529, 4749, 4944]"
статьи о загрязнении окружающей среды,[7853],1,"[6753, 3891, 6168, 5350, 6933, 2988, 1505, 6848, 1636, 7500, 8237, 7123, 6493, 1493, 6867, 7867, 5273, 717, 6826, 7189]","[6753, 3891, 6168, 5350, 6933, 2988, 1505, 6848, 1636, 7500]","[6867, 4692, 5668, 5350, 5036, 1926, 1493, 2777, 3977, 6126, 4878, 1015, 1636, 7123, 2032, 3949, 8250, 7434, 3798, 6933]","[6867, 4692, 5668, 5350, 5036, 1926, 1493, 2777, 3977, 6126]","[6867, 1636, 1926, 4692, 5668, 5350, 1114, 3642, 3603, 2777, 2988, 6493, 3891, 1505, 1493, 1837, 5036, 7500, 290, 4078]","[6867, 1636, 1926, 4692, 5668, 5350, 1114, 3642, 3603, 2777]","[4692, 5668, 7500, 4433, 5350, 1326, 2883, 290, 5136, 2032, 1493, 6126, 1926, 1636, 8219, 6826, 2777, 1114, 3291, 1453]","[4692, 5668, 7500, 4433, 5350, 1326, 2883, 290, 5136, 2032]"
новости от российских ученых,[8140],1,"[6927, 509, 4484, 7316, 5900, 6430, 7019, 6735, 6914, 1252, 7663, 2603, 7298, 6826, 7239, 244, 4302, 8067, 8033, 4414]","[6927, 509, 4484, 7316, 5900, 6430, 7019, 6735, 6914, 1252]","[1632, 1576, 4236, 4169, 2018, 1252, 1846, 2693, 509, 247, 2617, 4414, 4484, 4942, 4055, 6276, 1841, 6927, 7238, 6684]","[1632, 1576, 4236, 4169, 2018, 1252, 1846, 2693, 509, 247]","[4414, 2018, 6684, 6569, 4236, 4484, 1252, 8126, 5703, 6927, 1576, 8033, 247, 2150, 1782, 2314, 7019, 5461, 6369, 6276]","[4414, 2018, 6684, 6569, 4236, 4484, 1252, 8126, 5703, 6927]","[8067, 7019, 5703, 7328, 2018, 6498, 509, 6276, 6571, 7239, 2107, 2693, 2165, 4169, 5559, 7650, 6735, 6927, 658, 6325]","[8067, 7019, 5703, 7328, 2018, 6498, 509, 6276, 6571, 7239]"
Стандартная модель,"[2862, 3591, 6221, 6620]",4,"[3313, 4415, 2071, 3461, 6495, 927, 547, 6956, 7598, 1137, 4279, 2770, 2845, 6927, 2474, 8002, 5704, 5059, 7793, 4344]","[3313, 4415, 2071, 3461, 6495, 927, 547, 6956, 7598, 1137]","[6956, 547, 2845, 5671, 1137, 7793, 888, 8002, 5742, 5798, 5589, 6221, 2071, 1587, 3144, 7552, 4946, 2984, 3461, 1254]","[6956, 547, 2845, 5671, 1137, 7793, 888, 8002, 5742, 5798]","[6956, 5671, 2984, 547, 5798, 8002, 314, 888, 6636, 2845, 6666, 6915, 3461, 7793, 1587, 1137, 197, 6927, 6221, 3286]","[6956, 5671, 2984, 547, 5798, 8002, 314, 888, 6636, 2845]","[6956, 8067, 7552, 4055, 5866, 7622, 459, 197, 6636, 888, 683, 4415, 2770, 547, 1254, 4861, 2845, 2474, 6666, 7793]","[6956, 8067, 7552, 4055, 5866, 7622, 459, 197, 6636, 888]"
