request,id,n,search_20_none,search_10_none,search_20_rerank,search_10_rerank,search_20_other,search_10_other
трудовые понедельники после выхода на пенсию,[690],1,"[690, 5733, 510, 2867, 8224, 3997, 4520, 157, 2673, 5770, 8175, 7602, 3946, 4259, 4529, 5361, 36, 5464, 6786, 1972]","[690, 5733, 510, 2867, 8224, 3997, 4520, 157, 2673, 5770]","[690, 2673, 5733, 510, 2867, 8224, 3562, 7477, 6274, 8175, 6786, 7602, 6312, 3997, 7488, 7909, 4783, 3554, 3946, 7107]","[690, 2673, 5733, 510, 2867, 8224, 3562, 7477, 6274, 8175]","[690, 5733, 2867, 8175, 5464, 3562, 8144, 5770, 1934, 2673, 6312, 6186, 5845, 7227, 6786, 5880, 3103, 4294, 8244, 4459]","[690, 5733, 2867, 8175, 5464, 3562, 8144, 5770, 1934, 2673]"
планета TRAPPIST-1e,[282],1,"[282, 6584, 7209, 4513, 864, 1157, 6296, 1305, 6125, 3345, 562, 1029, 2028, 8092, 2550, 1927, 8217, 3729, 256, 7331]","[282, 6584, 7209, 4513, 864, 1157, 6296, 1305, 6125, 3345]","[282, 6584, 864, 7209, 4513, 1157, 6296, 6792, 8208, 5946, 7331, 390, 6001, 2086, 2928, 7194, 1720, 4150, 6085, 5259]","[282, 6584, 864, 7209, 4513, 1157, 6296, 6792, 8208, 5946]","[6584, 282, 864, 7209, 4513, 1029, 1157, 2733, 5088, 4667, 562, 2805, 3307, 5946, 6001, 8208, 6125, 3729, 7194, 1948]","[6584, 282, 864, 7209, 4513, 1029, 1157, 2733, 5088, 4667]"
космические миссии к астероидам,[67],1,"[5434, 7849, 5245, 8208, 6475, 4862, 67, 2284, 1765, 2597, 7537, 238, 3097, 2874, 7040, 1626, 3777, 631, 152, 7220]","[5434, 7849, 5245, 8208, 6475, 4862, 67, 2284, 1765, 2597]","[5434, 7849, 5245, 1765, 1577, 67, 4865, 202, 6475, 2318, 2597, 7676, 3097, 2131, 631, 7220, 5860, 4582, 3080, 8208]","[5434, 7849, 5245, 1765, 1577, 67, 4865, 202, 6475, 2318]","[5434, 7849, 4865, 1577, 67, 6475, 1765, 7220, 202, 2318, 2597, 3777, 2268, 2202, 8208, 7045, 1470, 3080, 1373, 3464]","[5434, 7849, 4865, 1577, 67, 6475, 1765, 7220, 202, 2318]"
"вакцины живые, убитые и векторные",[83],1,"[7176, 6701, 5452, 83, 6057, 6662, 6667, 4978, 2323, 7564, 7404, 4027, 6790, 7475, 5628, 6717, 7298, 1756, 3025, 6002]","[7176, 6701, 5452, 83, 6057, 6662, 6667, 4978, 2323, 7564]","[7176, 7298, 7126, 2323, 6662, 4978, 4289, 7161, 6057, 7697, 7475, 7992, 5452, 7491, 695, 5973, 5376, 3025, 5545, 7406]","[7176, 7298, 7126, 2323, 6662, 4978, 4289, 7161, 6057, 7697]","[7176, 4978, 6430, 7992, 6662, 5452, 7142, 4055, 5628, 3905, 144, 4420, 1756, 6021, 5841, 8033, 1977, 8158, 6002, 7491]","[7176, 4978, 6430, 7992, 6662, 5452, 7142, 4055, 5628, 3905]"
археологические открытия в Китае,[5080],1,"[5395, 3848, 5105, 4616, 8038, 5449, 3776, 1217, 7744, 5080, 116, 4575, 2391, 7353, 5640, 4781, 2596, 133, 2677, 1371]","[5395, 3848, 5105, 4616, 8038, 5449, 3776, 1217, 7744, 5080]","[5395, 3848, 2391, 1760, 2882, 2677, 4575, 3776, 116, 8038, 2596, 6363, 4616, 225, 4751, 1371, 5449, 7049, 5105, 7496]","[5395, 3848, 2391, 1760, 2882, 2677, 4575, 3776, 116, 8038]","[5395, 2391, 3776, 2596, 4575, 8038, 5449, 3848, 2677, 4616, 332, 4343, 116, 1760, 6363, 3579, 2246, 5105, 3483, 4347]","[5395, 2391, 3776, 2596, 4575, 8038, 5449, 3848, 2677, 4616]"
идеальная планета для жизни,[7465],1,"[7465, 8232, 7241, 3345, 2116, 7321, 4442, 4606, 1012, 4150, 3669, 5694, 3729, 30, 198, 2618, 3122, 3248, 391, 7048]","[7465, 8232, 7241, 3345, 2116, 7321, 4442, 4606, 1012, 4150]","[7465, 8232, 3345, 7381, 7241, 30, 688, 3669, 4357, 6351, 7331, 198, 1071, 5694, 8076, 7858, 7242, 1045, 2116, 775]","[7465, 8232, 3345, 7381, 7241, 30, 688, 3669, 4357, 6351]","[7465, 1071, 8232, 7242, 7241, 3729, 3248, 391, 4442, 7331, 1012, 3960, 3053, 7434, 8076, 6584, 198, 2116, 3345, 7381]","[7465, 1071, 8232, 7242, 7241, 3729, 3248, 391, 4442, 7331]"
условия освещенности на Южном полю,[2131],1,"[3798, 5654, 2099, 6306, 6753, 5507, 6060, 5808, 610, 7257, 1810, 5491, 6309, 3018, 570, 174, 2414, 6016, 4606, 549]","[3798, 5654, 2099, 6306, 6753, 5507, 6060, 5808, 610, 7257]","[7977, 4550, 6542, 6016, 4389, 7553, 3798, 2990, 8137, 2131, 700, 5299, 5654, 6079, 3018, 6085, 5808, 60, 5491, 4111]","[7977, 4550, 6542, 6016, 4389, 7553, 3798, 2990, 8137, 2131]","[5299, 6753, 6060, 4550, 6306, 3858, 678, 6418, 6510, 4796, 3798, 700, 223, 8135, 7257, 6317, 4494, 2797, 6722, 2131]","[5299, 6753, 6060, 4550, 6306, 3858, 678, 6418, 6510, 4796]"
новости про разработку спутника,[5188],1,"[8208, 6897, 7383, 3653, 4005, 7045, 7560, 6566, 6569, 5523, 8256, 7373, 1922, 5256, 1708, 6836, 2726, 3179, 4324, 1052]","[8208, 6897, 7383, 3653, 4005, 7045, 7560, 6566, 6569, 5523]","[8256, 4005, 820, 1708, 7665, 1922, 6566, 4607, 2726, 5523, 3179, 2202, 3653, 6836, 1311, 6031, 434, 758, 7749, 3167]","[8256, 4005, 820, 1708, 7665, 1922, 6566, 4607, 2726, 5523]","[7373, 6897, 3608, 8256, 1765, 3653, 1708, 2109, 2726, 2437, 8208, 1311, 6552, 820, 5789, 7045, 7269, 1373, 4005, 8204]","[7373, 6897, 3608, 8256, 1765, 3653, 1708, 2109, 2726, 2437]"
новости про динозавров,[6548],1,"[5315, 5148, 5482, 993, 3878, 1242, 7179, 8015, 6775, 1588, 4945, 4360, 1833, 817, 7507, 1160, 4026, 609, 151, 332]","[5315, 5148, 5482, 993, 3878, 1242, 7179, 8015, 6775, 1588]","[151, 8015, 1141, 1242, 2639, 6362, 4521, 7414, 1833, 817, 5315, 2246, 6263, 5482, 2025, 2853, 3666, 912, 5891, 993]","[151, 8015, 1141, 1242, 2639, 6362, 4521, 7414, 1833, 817]","[1242, 1667, 8015, 8173, 6362, 2025, 332, 817, 6141, 1947, 2853, 5310, 2677, 609, 2938, 6775, 5482, 5315, 3666, 912]","[1242, 1667, 8015, 8173, 6362, 2025, 332, 817, 6141, 1947]"
премии в области науки и техники,[5130],1,"[3973, 5130, 2440, 4762, 47, 5320, 8144, 6208, 5347, 7905, 2725, 2775, 2239, 5339, 7333, 3035, 2457, 7866, 4890, 2763]","[3973, 5130, 2440, 4762, 47, 5320, 8144, 6208, 5347, 7905]","[3973, 4762, 5320, 2440, 7890, 39, 7905, 5130, 31, 5347, 2763, 47, 6208, 6359, 2725, 5339, 7866, 3035, 2775, 5774]","[3973, 4762, 5320, 2440, 7890, 39, 7905, 5130, 31, 5347]","[4762, 5130, 3973, 2440, 2725, 39, 5339, 5320, 1984, 7905, 2775, 2763, 6359, 5309, 7866, 7890, 31, 47, 6208, 9]","[4762, 5130, 3973, 2440, 2725, 39, 5339, 5320, 1984, 7905]"
исследования в университете Южной Флориды,[6317],1,"[4859, 8174, 7792, 5049, 3200, 7816, 1834, 1933, 5818, 6393, 7021, 6671, 6060, 6180, 2671, 4892, 1201, 2283, 920, 5443]","[4859, 8174, 7792, 5049, 3200, 7816, 1834, 1933, 5818, 6393]","[4878, 6822, 8227, 5443, 7081, 5818, 3070, 2671, 4859, 6556, 8174, 6393, 8164, 6671, 2283, 6753, 5049, 3200, 1207, 8021]","[4878, 6822, 8227, 5443, 7081, 5818, 3070, 2671, 4859, 6556]","[6556, 4878, 4859, 7792, 5818, 3200, 5049, 7816, 5443, 2276, 3070, 6671, 4892, 6060, 3688, 2671, 6180, 8021, 8164, 5181]","[6556, 4878, 4859, 7792, 5818, 3200, 5049, 7816, 5443, 2276]"
достижения в селекции краснокнижных растений,[6161],1,"[6378, 6698, 1401, 6904, 3511, 717, 7031, 476, 7626, 8200, 4172, 4404, 7009, 6334, 175, 5876, 1500, 5300, 7700, 8171]","[6378, 6698, 1401, 6904, 3511, 717, 7031, 476, 7626, 8200]","[7626, 4698, 3511, 5300, 381, 4404, 4398, 1227, 6698, 4383, 7059, 3534, 6284, 6378, 8266, 6138, 4573, 1401, 6904, 476]","[7626, 4698, 3511, 5300, 381, 4404, 4398, 1227, 6698, 4383]","[7848, 3952, 7478, 7069, 8266, 6698, 1500, 175, 2655, 8200, 3471, 4172, 6882, 6572, 3511, 7009, 4383, 6097, 5768, 7145]","[7848, 3952, 7478, 7069, 8266, 6698, 1500, 175, 2655, 8200]"
статьи о музыкальных жанрах,[2594],1,"[1647, 8020, 4293, 7581, 5051, 6134, 656, 3272, 4247, 3791, 5308, 7556, 4312, 543, 2546, 3891, 2841, 1932, 7927, 4444]","[1647, 8020, 4293, 7581, 5051, 6134, 656, 3272, 4247, 3791]","[1647, 8020, 2594, 3791, 8116, 5113, 4082, 4911, 7333, 8141, 7391, 5051, 2260, 4429, 7581, 543, 696, 1132, 1413, 6611]","[1647, 8020, 2594, 3791, 8116, 5113, 4082, 4911, 7333, 8141]","[1132, 4082, 2594, 4293, 8020, 696, 5051, 5113, 7581, 4444, 6928, 1647, 2546, 603, 4429, 1932, 7333, 5308, 1413, 5171]","[1132, 4082, 2594, 4293, 8020, 696, 5051, 5113, 7581, 4444]"
статьи про любовь и химию,[1280],1,"[1280, 1822, 6826, 7740, 602, 5320, 4069, 5559, 4982, 6134, 6735, 4401, 3016, 147, 7056, 5036, 3248, 549, 1379, 2841]","[1280, 1822, 6826, 7740, 602, 5320, 4069, 5559, 4982, 6134]","[1280, 4798, 5036, 7333, 7056, 6359, 7727, 7177, 7189, 1341, 7434, 5711, 7455, 6369, 1735, 768, 585, 4069, 7594, 7528]","[1280, 4798, 5036, 7333, 7056, 6359, 7727, 7177, 7189, 1341]","[1280, 4069, 5036, 6369, 7333, 5320, 6359, 5622, 2763, 7740, 3192, 7177, 4934, 7905, 31, 5447, 2166, 3769, 1822, 8237]","[1280, 4069, 5036, 6369, 7333, 5320, 6359, 5622, 2763, 7740]"
влияние безработицы на продолжительность жизни,[6583],1,"[7956, 5361, 6583, 7909, 4307, 4272, 3877, 5601, 2088, 5629, 3997, 3215, 383, 3406, 4520, 6512, 1459, 4749, 7166, 5845]","[7956, 5361, 6583, 7909, 4307, 4272, 3877, 5601, 2088, 5629]","[7909, 5426, 4944, 5361, 6258, 1156, 399, 383, 7602, 3406, 4301, 7611, 4749, 4783, 7107, 7163, 6583, 3997, 6715, 6512]","[7909, 5426, 4944, 5361, 6258, 1156, 399, 383, 7602, 3406]","[5361, 6011, 3877, 6744, 5044, 6492, 4210, 4749, 5803, 7107, 7771, 5733, 3406, 3244, 3278, 4272, 3303, 383, 5131, 7163]","[5361, 6011, 3877, 6744, 5044, 6492, 4210, 4749, 5803, 7107]"
статьи о загрязнении окружающей среды,[7853],1,"[6753, 3891, 6168, 5350, 6933, 2988, 1505, 6848, 1636, 7500, 8237, 7123, 6493, 1493, 6867, 7867, 5273, 717, 6826, 7189]","[6753, 3891, 6168, 5350, 6933, 2988, 1505, 6848, 1636, 7500]","[6867, 4692, 5668, 5350, 5036, 1926, 1493, 2777, 3977, 6126, 4878, 1015, 1636, 7123, 2032, 3949, 8250, 7434, 3798, 6933]","[6867, 4692, 5668, 5350, 5036, 1926, 1493, 2777, 3977, 6126]","[6867, 1636, 1926, 4692, 5668, 5350, 1114, 3642, 3603, 2777, 2988, 6493, 3891, 1505, 1493, 1837, 5036, 7500, 290, 4078]","[6867, 1636, 1926, 4692, 5668, 5350, 1114, 3642, 3603, 2777]"
новости от российских ученых,[8140],1,"[6927, 509, 4484, 7316, 5900, 6430, 7019, 6735, 6914, 1252, 7663, 2603, 7298, 6826, 7239, 244, 4302, 8067, 8033, 4414]","[6927, 509, 4484, 7316, 5900, 6430, 7019, 6735, 6914, 1252]","[1632, 1576, 4236, 4169, 2018, 1252, 1846, 2693, 509, 247, 2617, 4414, 4484, 4942, 4055, 6276, 1841, 6927, 7238, 6684]","[1632, 1576, 4236, 4169, 2018, 1252, 1846, 2693, 509, 247]","[4414, 2018, 6684, 6569, 4236, 4484, 1252, 8126, 5703, 6927, 1576, 8033, 247, 2150, 1782, 2314, 7019, 5461, 6369, 6276]","[4414, 2018, 6684, 6569, 4236, 4484, 1252, 8126, 5703, 6927]"
Стандартная модель,"[2862, 3591, 6221, 6620]",4,"[3313, 4415, 2071, 3461, 6495, 927, 547, 6956, 7598, 1137, 4279, 2770, 2845, 6927, 2474, 8002, 5704, 5059, 7793, 4344]","[3313, 4415, 2071, 3461, 6495, 927, 547, 6956, 7598, 1137]","[6956, 547, 2845, 5671, 1137, 7793, 888, 8002, 5742, 5798, 5589, 6221, 2071, 1587, 3144, 7552, 4946, 2984, 3461, 1254]","[6956, 547, 2845, 5671, 1137, 7793, 888, 8002, 5742, 5798]","[6956, 5671, 2984, 547, 5798, 8002, 314, 888, 6636, 2845, 6666, 6915, 3461, 7793, 1587, 1137, 197, 6927, 6221, 3286]","[6956, 5671, 2984, 547, 5798, 8002, 314, 888, 6636, 2845]"
аспартам,"[5431, 5999, 6286]",3,"[5431, 5353, 1571, 6209, 7152, 405, 5768, 2516, 7622, 1549, 2973, 7550, 147, 3706, 1874, 5907, 4067, 4982, 7608, 5757]","[5431, 5353, 1571, 6209, 7152, 405, 5768, 2516, 7622, 1549]","[5431, 5768, 7482, 6490, 6788, 7278, 1811, 5888, 6326, 7327, 2780, 3859, 405, 6635, 5853, 3330, 4125, 8125, 1874, 7863]","[5431, 5768, 7482, 6490, 6788, 7278, 1811, 5888, 6326, 7327]","[5431, 1811, 6490, 7863, 2422, 8125, 405, 7061, 1874, 7482, 1187, 6326, 2069, 144, 4426, 3009, 7296, 2516, 5353, 2973]","[5431, 1811, 6490, 7863, 2422, 8125, 405, 7061, 1874, 7482]"
капли,"[17, 257, 2001]",3,"[6799, 3947, 6610, 5483, 4594, 7115, 3347, 4735, 69, 1136, 2926, 3806, 4465, 7895, 1532, 257, 7558, 3410, 2352, 1332]","[6799, 3947, 6610, 5483, 4594, 7115, 3347, 4735, 69, 1136]","[3347, 69, 2926, 4735, 2558, 5483, 392, 4777, 5854, 4596, 6610, 2503, 3516, 6799, 3185, 1287, 4465, 6811, 8170, 4771]","[3347, 69, 2926, 4735, 2558, 5483, 392, 4777, 5854, 4596]","[1287, 69, 4465, 2558, 7079, 3433, 5338, 2926, 6610, 6273, 4771, 533, 3347, 1483, 2352, 7558, 7934, 1062, 4735, 392]","[1287, 69, 4465, 2558, 7079, 3433, 5338, 2926, 6610, 6273]"
изделия,"[2707, 2783, 3071, 5224, 6082, 7657, 8121]",7,"[2570, 7935, 6134, 2833, 543, 2139, 4428, 2151, 1666, 7833, 7558, 4279, 7530, 2509, 7739, 1379, 6700, 5353, 4798, 7726]","[2570, 7935, 6134, 2833, 543, 2139, 4428, 2151, 1666, 7833]","[6841, 7935, 2570, 1443, 6214, 4730, 6700, 4, 2622, 3740, 7611, 2619, 7120, 3903, 6650, 7049, 5708, 2299, 836, 1446]","[6841, 7935, 2570, 1443, 6214, 4730, 6700, 4, 2622, 3740]","[6841, 6700, 6214, 7049, 3740, 2622, 2570, 2215, 7558, 4428, 7120, 1443, 4730, 4724, 6348, 5834, 3903, 7538, 2833, 7611]","[6841, 6700, 6214, 7049, 3740, 2622, 2570, 2215, 7558, 4428]"
статьи о групповой работе с ИИ,[164],1,"[164, 7898, 1175, 4802, 7821, 7351, 5164, 7530, 7316, 6121, 6134, 7695, 2151, 6515, 5761, 5163, 2287, 2486, 2985, 2756]","[164, 7898, 1175, 4802, 7821, 7351, 5164, 7530, 7316, 6121]","[164, 7695, 2509, 7898, 5761, 5986, 1337, 7351, 4915, 2190, 7589, 1175, 2609, 263, 2918, 2435, 7363, 2151, 6121, 2877]","[164, 7695, 2509, 7898, 5761, 5986, 1337, 7351, 4915, 2190]","[7898, 164, 2918, 2623, 7695, 2609, 7084, 5986, 2357, 4802, 1007, 5163, 5263, 2877, 1337, 7363, 2641, 237, 3209, 6169]","[7898, 164, 2918, 2623, 7695, 2609, 7084, 5986, 2357, 4802]"
полярное сияние на блуждающем коричневом карлике,[123],1,"[6085, 2704, 2103, 6642, 5775, 2398, 3807, 60, 7616, 2339, 6135, 7630, 7306, 1951, 4431, 2059, 4814, 7593, 123, 3935]","[6085, 2704, 2103, 6642, 5775, 2398, 3807, 60, 7616, 2339]","[6085, 60, 123, 2103, 7616, 1715, 7593, 2704, 4814, 6106, 5775, 7306, 1157, 6306, 7331, 30, 6466, 6296, 8159, 6944]","[6085, 60, 123, 2103, 7616, 1715, 7593, 2704, 4814, 6106]","[7616, 6085, 7331, 44, 282, 2977, 6642, 1715, 864, 6306, 1157, 2103, 7118, 2214, 6296, 1625, 5491, 123, 6792, 5885]","[7616, 6085, 7331, 44, 282, 2977, 6642, 1715, 864, 6306]"
спутниковые системы мониторинга,[7197],1,"[7383, 6092, 4702, 2635, 5135, 7045, 4949, 6031, 5824, 6373, 2492, 820, 4197, 3167, 6566, 1052, 5942, 6753, 1028, 5860]","[7383, 6092, 4702, 2635, 5135, 7045, 4949, 6031, 5824, 6373]","[7383, 581, 5165, 6092, 4285, 5138, 4949, 5824, 4197, 2531, 820, 3010, 2658, 733, 3179, 5942, 6373, 7929, 888, 7098]","[7383, 581, 5165, 6092, 4285, 5138, 4949, 5824, 4197, 2531]","[7383, 4285, 4197, 581, 2492, 6092, 4949, 8165, 3010, 280, 744, 820, 2658, 6373, 7098, 7242, 3179, 4935, 730, 3933]","[7383, 4285, 4197, 581, 2492, 6092, 4949, 8165, 3010, 280]"
электромагнитные свойства наночастиц,[5715],1,"[5715, 5072, 5872, 5896, 4126, 5394, 586, 6531, 1321, 3763, 2195, 7248, 2959, 2389, 1008, 2776, 1456, 2248, 4841, 7792]","[5715, 5072, 5872, 5896, 4126, 5394, 586, 6531, 1321, 3763]","[5896, 1321, 5715, 5872, 5072, 5394, 7792, 1008, 7248, 7795, 526, 2968, 4841, 4126, 6496, 586, 2959, 2776, 2193, 7969]","[5896, 1321, 5715, 5872, 5072, 5394, 7792, 1008, 7248, 7795]","[5715, 5896, 5872, 5072, 4126, 4841, 2195, 6730, 6598, 2389, 1008, 6069, 5394, 5030, 5010, 6328, 3845, 2371, 1321, 526]","[5715, 5896, 5872, 5072, 4126, 4841, 2195, 6730, 6598, 2389]"
физика сперматозоидов,[5170],1,"[4977, 7990, 5170, 982, 5792, 7563, 6603, 7378, 6870, 6998, 5448, 311, 727, 7195, 6444, 6077, 5407, 2248, 3803, 1380]","[4977, 7990, 5170, 982, 5792, 7563, 6603, 7378, 6870, 6998]","[8043, 5792, 2572, 311, 5170, 7178, 590, 4977, 849, 7760, 6462, 7124, 7296, 7069, 6702, 7990, 6275, 7287, 2640, 6941]","[8043, 5792, 2572, 311, 5170, 7178, 590, 4977, 849, 7760]","[849, 4780, 5940, 4311, 8033, 1197, 311, 3002, 7069, 2640, 4679, 6531, 2248, 4977, 5015, 7178, 5792, 4832, 590, 6004]","[849, 4780, 5940, 4311, 8033, 1197, 311, 3002, 7069, 2640]"
